request	status	seconds	bytes
1	200	6.561484	268035
2	200	4.892311	268035
3	200	3.753590	268035
4	200	1.898817	268035
5	200	1.090940	268035
6	200	0.770840	268035
7	200	4.186848	268035
8	200	1.954554	268035
9	200	0.844446	268035
10	200	3.937078	268035
