1	root	200	0.397645	234900
1	status	200	0.345512	25277
1	words	200	0.527277	28133
1	meaning	200	0.575224	271331
1	social	200	2.692830	253380
1	topics	200	0.382515	4950
1	context	200	0.139095	9185
2	root	200	0.457669	241632
2	status	200	0.158155	25274
2	words	200	0.402235	28133
2	meaning	200	0.596602	271331
2	social	200	0.607824	252881
2	topics	200	0.343516	4950
2	context	200	0.211489	9185
3	root	200	0.384939	241317
3	status	200	0.157185	25282
3	words	200	0.391258	28133
3	meaning	200	0.800872	271331
3	social	200	0.670689	253221
3	topics	200	0.311749	4950
3	context	200	0.137222	9185
